"","policy_length","temp_band","threshold","pr_recovery","se"
"96",12,"Delta*T==8*'-'*10*degree*C","24",0.22680412371134,0.0425191301007493
"97",18,"Delta*T==1*'-'*7*degree*C","24",0.871657754010695,0.0172950577067404
"98",18,"Delta*T==8*'-'*10*degree*C","24",0.231481481481481,0.0405857351801942
"99",24,"Delta*T==1*'-'*7*degree*C","24",0.86058981233244,0.0179345688368045
"100",24,"Delta*T==8*'-'*10*degree*C","24",0.238532110091743,0.0408212193591982
"101",30,"Delta*T==1*'-'*7*degree*C","24",0.854497354497355,0.0181361419433213
"102",30,"Delta*T==8*'-'*10*degree*C","24",0.238532110091743,0.0408212193591982
"103",36,"Delta*T==1*'-'*7*degree*C","24",0.855614973262032,0.0181745834450381
"104",36,"Delta*T==8*'-'*10*degree*C","24",0.210084033613445,0.0373433683980461
"105",42,"Delta*T==1*'-'*7*degree*C","24",0.856338028169014,0.0186156990903232
"106",42,"Delta*T==8*'-'*10*degree*C","24",0.19047619047619,0.0383213245791884
"107",48,"Delta*T==1*'-'*7*degree*C","24",0.879120879120879,0.0170863481761372
"108",48,"Delta*T==8*'-'*10*degree*C","24",0.256880733944954,0.0418486813744292
"109",54,"Delta*T==1*'-'*7*degree*C","24",0.873972602739726,0.0173714056023957
"110",54,"Delta*T==8*'-'*10*degree*C","24",0.1875,0.0368810527720051
"111",60,"Delta*T==1*'-'*7*degree*C","24",0.842105263157895,0.0191916986988241
"112",60,"Delta*T==8*'-'*10*degree*C","24",0.23728813559322,0.0391631178425801
"113",66,"Delta*T==1*'-'*7*degree*C","24",0.853260869565217,0.0184454806260842
"114",66,"Delta*T==8*'-'*10*degree*C","24",0.236842105263158,0.0398184390899309
"115",72,"Delta*T==1*'-'*7*degree*C","24",0.846774193548387,0.0186757604593096
"116",72,"Delta*T==8*'-'*10*degree*C","24",0.235294117647059,0.0388847462961881
"117",78,"Delta*T==1*'-'*7*degree*C","24",0.832876712328767,0.0195282089176665
"118",78,"Delta*T==8*'-'*10*degree*C","24",0.208333333333333,0.0370731883751087
"119",84,"Delta*T==1*'-'*7*degree*C","24",0.85792349726776,0.0182492435731864
"120",84,"Delta*T==8*'-'*10*degree*C","24",0.23015873015873,0.0374998083688703
"121",0,"Delta*T==1*'-'*7*degree*C","30",0.658119658119658,0.0438527229919992
"122",0,"Delta*T==8*'-'*10*degree*C","30",0.0555555555555556,0.0539902953226417
"123",6,"Delta*T==1*'-'*7*degree*C","30",0.848404255319149,0.0184948580314929
"124",6,"Delta*T==8*'-'*10*degree*C","30",0.237623762376238,0.0423515122914199
"125",12,"Delta*T==1*'-'*7*degree*C","30",0.869333333333333,0.0174044353648824
"126",12,"Delta*T==8*'-'*10*degree*C","30",0.298969072164948,0.0464831824209261
"127",18,"Delta*T==1*'-'*7*degree*C","30",0.927807486631016,0.0133825605231694
"128",18,"Delta*T==8*'-'*10*degree*C","30",0.259259259259259,0.0421685216706156
"129",24,"Delta*T==1*'-'*7*degree*C","30",0.935656836461126,0.0127044271320081
"130",24,"Delta*T==8*'-'*10*degree*C","30",0.293577981651376,0.0436194921436559
"131",30,"Delta*T==1*'-'*7*degree*C","30",0.944444444444444,0.011781648338525
"132",30,"Delta*T==8*'-'*10*degree*C","30",0.321100917431193,0.0447208588173143
"133",36,"Delta*T==1*'-'*7*degree*C","30",0.949197860962567,0.0113549067942702
"134",36,"Delta*T==8*'-'*10*degree*C","30",0.26890756302521,0.0406456593828211
"135",42,"Delta*T==1*'-'*7*degree*C","30",0.957746478873239,0.0106768356708001
"136",42,"Delta*T==8*'-'*10*degree*C","30",0.304761904761905,0.0449213159888435
"137",48,"Delta*T==1*'-'*7*degree*C","30",0.964285714285714,0.00972687106074861
"138",48,"Delta*T==8*'-'*10*degree*C","30",0.302752293577982,0.0440072285879621
"139",54,"Delta*T==1*'-'*7*degree*C","30",0.956164383561644,0.0107160173507948
"140",54,"Delta*T==8*'-'*10*degree*C","30",0.276785714285714,0.0422762368507354
"141",60,"Delta*T==1*'-'*7*degree*C","30",0.930747922437673,0.0133622268405186
